,RAJ2000,DEJ2000,P,F555W,e_F555W,F606W,e_F606W,F814W,e_F814W,WVI_555,e_WVI_555,Z,sig_clip
126,202.484575,47.173992,12.511340,24.546481,0.071230,24.240679,0.052127,23.464913,0.055955,22.101055,0.127190,9.268325, 
127,202.496316,47.187865,23.100786,24.471203,0.089143,24.216780,0.083330,23.527888,0.083497,22.338367,0.175196,9.261388,+
128,202.483033,47.193419,19.723830,24.570668,0.097828,24.276729,0.068155,23.502712,0.055785,22.156020,0.152573,9.318476,+
129,202.521238,47.166374,31.869260,24.635410,0.045849,24.318822,0.032088,23.504162,0.031096,22.077658,0.076467,9.134625,+
130,202.505316,47.158989,32.207134,24.593410,0.075190,24.295417,0.069034,23.520317,0.069990,22.167146,0.147234,9.167958,+
131,202.528182,47.201364,25.033239,24.552610,0.045733,24.265761,0.031307,23.506005,0.045942,22.186237,0.093769,9.135693,+
132,202.482161,47.165797,20.406340,24.586383,0.066886,24.293266,0.051543,23.524829,0.051538,22.186208,0.118294,9.244082,+
133,202.507354,47.161010,10.225672,24.551071,0.074468,24.265337,0.057289,23.518470,0.048902,22.216361,0.122523,9.167670, 
134,202.497336,47.166757,11.211459,24.577158,0.068785,24.289174,0.047449,23.531388,0.042155,22.212673,0.110119,9.212839, 
135,202.472014,47.179282,22.166060,24.702310,0.143984,24.372777,0.115530,23.537254,0.063064,22.068117,0.208006,9.308084,+
136,202.494881,47.209121,17.622664,24.271858,0.062965,24.065979,0.047486,23.491555,0.035438,22.507592,0.097760,9.256911,+
137,202.524819,47.174262,22.863689,24.546496,0.125142,24.266276,0.100130,23.528536,0.059513,22.244889,0.184596,9.134985,+
138,202.515353,47.190168,27.229573,24.589197,0.071943,24.296433,0.058151,23.529106,0.055234,22.192331,0.127012,9.187550,+
139,202.505702,47.160721,27.757286,24.507651,0.063016,24.229980,0.057228,23.495537,0.062172,22.219261,0.127774,9.171748,+
140,202.464430,47.179961,44.523075,25.132755,0.057252,24.652171,0.037865,23.538231,0.037049,21.527536,0.093635,9.308170,+
141,202.470246,47.202710,23.579020,24.873315,0.093210,24.490118,0.074562,23.545542,0.055172,21.871219,0.147307,9.343069,+
142,202.484241,47.165476,21.813942,24.199826,0.079557,24.018260,0.071107,23.499640,0.063886,22.616705,0.143652,9.239403,+
143,202.517820,47.192561,27.170453,24.668829,0.088126,24.359277,0.071403,23.558303,0.058968,22.157931,0.146135,9.178442,+
144,202.526859,47.209803,27.562511,24.502490,0.081971,24.240357,0.071958,23.544256,0.068635,22.335922,0.151281,9.134978,+
145,202.517109,47.192954,25.241311,24.716424,0.068131,24.391830,0.044031,23.566941,0.043159,22.117444,0.110480,9.181385,+
146,202.491379,47.176882,28.115331,24.678956,0.090379,24.334163,0.070306,23.467625,0.054649,21.940137,0.143958,9.258281,+
147,202.499024,47.190149,25.524004,24.623770,0.097367,24.329766,0.078071,23.560042,0.060656,22.218680,0.156858,9.252741,+
148,202.514754,47.203307,21.813951,24.374320,0.147417,24.164221,0.133191,23.580550,0.082858,22.579605,0.228776,9.188237,+
149,202.530465,47.188986,18.930491,24.327715,0.049882,24.129699,0.037695,23.572056,0.038440,22.619171,0.088226,9.126467,+
